"study","college","origin","distance","area","washroom","rent","neighborhood","course"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",25,0,540,"0004","ASC-U-091"
"Non-degree","Arts and Science","Saskatchewan","30-45 minutes",38,0,740,"1048","ASC-N-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",37.5,1,1280,"1052","ASC-U-112"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",47,0,910,"1031","ASC-U-036"
"Undergrad","Education","Saskatchewan","30-45 minutes",35,0,770,"1031","EDU-U-024"
"Undergrad","Pharmacy & Nutrition","International","30-45 minutes",35.5,0,580,"1035","PHARM-U-004"
"Grad","Arts and Science","Out of Province","less than 15 minutes",25,0,660,"3011","ASC-G-009"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",48.5,0,1210,"2027","ASC-U-005"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",29,1,700,"0014","ASC-U-139"
"Undergrad","Pharmacy & Nutrition","International","less than 15 minutes",24,0,1040,"3009","PHARM-U-004"
"Undergrad","Business","Out of Province","less than 15 minutes",43.5,0,1140,"3010","BUS-U-032"
"Grad","Education","Saskatchewan","more than 45 minutes",26.5,0,580,"0013","EDU-G-006"
"Undergrad","Education","Saskatchewan","more than 45 minutes",31.5,0,480,"0011","EDU-U-024"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",33,0,1600,"3010","ASC-U-106"
"Non-degree","Arts and Science","Saskatchewan","15-30 minutes",31,0,1020,"2016","ASC-N-002"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",40.5,0,820,"2025","ASC-U-027"
"Undergrad","Agriculture & Bioresources","Saskatchewan","less than 15 minutes",28.5,0,1230,"3009","AGR-U-011"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",33,1,810,"1031","ASC-U-058"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",28.5,1,710,"2018","AGR-U-013"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",17.5,0,460,"2017","ASC-U-093"
"Undergrad","Arts and Science","International","30-45 minutes",27.5,1,720,"1044","ASC-U-095"
"Undergrad","Education","Out of Province","more than 45 minutes",51,1,1210,"0008","EDU-U-022"
"Undergrad","Arts and Science","International","30-45 minutes",34.5,0,760,"1050","ASC-U-097"
"Grad","Education","Saskatchewan","30-45 minutes",27,0,660,"1025","EDU-G-004"
"Undergrad","Engineering","Out of Province","15-30 minutes",24,0,550,"2025","ENG-U-002"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",30,0,560,"0005","ASC-U-016"
"Undergrad","Business","Saskatchewan","30-45 minutes",32,0,730,"1046","BUS-U-015"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",20.5,0,510,"2020","ASC-U-028"
"Undergrad","Education","Saskatchewan","less than 15 minutes",27.5,1,1130,"3009","EDU-U-022"
"Undergrad","Business","Saskatchewan","30-45 minutes",47.5,0,850,"1003","BUS-U-008"
"Undergrad","Education","Saskatchewan","15-30 minutes",45,1,1580,"2036","EDU-U-016"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27.5,1,750,"1020","ASC-U-046"
"Undergrad","Education","International","15-30 minutes",31,0,650,"2008","EDU-U-007"
"Med Residents","Medicine","Saskatchewan","15-30 minutes",25.5,0,670,"2016","MED-M-005"
"Grad","Nursing","Out of Province","30-45 minutes",35.5,1,800,"1023","NUR-G-001"
"Grad","Public Policy","Out of Province","more than 45 minutes",27.5,0,430,"0008","POL-G-001"
"Undergrad","Business","Saskatchewan","15-30 minutes",33.5,0,780,"2010","BUS-U-029"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","less than 15 minutes",26.5,1,1060,"3002","PHARM-U-004"
"Undergrad","Education","Saskatchewan","15-30 minutes",32.5,0,650,"2029","EDU-U-003"
"Undergrad","Law","Saskatchewan","30-45 minutes",31.5,0,650,"1054","LAW-U-002"
"Undergrad","Pharmacy & Nutrition","Out of Province","15-30 minutes",25.5,0,540,"2019","PHARM-U-005"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",35,0,1130,"1007","ASC-U-046"
"Undergrad","Education","Saskatchewan","15-30 minutes",34,1,1430,"2012","EDU-U-013"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",31,0,740,"2020","ASC-U-107"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",37.5,0,860,"2015","ASC-G-011"
"Grad","Nursing","Saskatchewan","30-45 minutes",38,0,840,"1048","NUR-G-002"
"Undergrad","Engineering","International","30-45 minutes",25.5,1,700,"1005","ENG-U-007"
"Undergrad","Business","Saskatchewan","15-30 minutes",16.5,0,560,"2030","BUS-U-025"
"Undergrad","Business","Out of Province","30-45 minutes",27.5,1,860,"1001","BUS-U-025"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",32,0,780,"1016","PHARM-U-004"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",32.5,0,860,"3001","ASC-U-096"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",32,0,530,"0013","ASC-U-111"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",41,1,920,"2031","ENG-U-018"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",26.5,0,750,"2027","ASC-U-010"
"Undergrad","Medicine","Saskatchewan","30-45 minutes",25,0,530,"1036","MED-U-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",22.5,0,360,"1029","ASC-U-076"
"Undergrad","Veterinary Medicine","Saskatchewan","15-30 minutes",36.5,0,1040,"2019","VET-U-001"
"Undergrad","Kinesiology","Saskatchewan","15-30 minutes",29,1,780,"2022","KIN-U-010"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",29.5,1,690,"1006","ASC-U-077"
"Grad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",36.5,1,980,"1004","AGR-G-002"
"Undergrad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",26.5,0,650,"0016","AGR-U-018"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",25,0,580,"3010","ASC-U-128"
"Undergrad","Education","Saskatchewan","30-45 minutes",20.5,0,400,"1014","EDU-U-003"
"Undergrad","Arts and Science","International","more than 45 minutes",28,1,670,"0004","ASC-U-117"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",23,0,620,"1007","ENG-U-017"
"Undergrad","Education","Saskatchewan","30-45 minutes",34,0,680,"1014","EDU-U-015"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",23,0,510,"2005","NUR-U-017"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",31,1,860,"3010","ASC-U-046"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",51,0,1050,"2013","ASC-G-012"
"Grad","Medicine","Out of Province","30-45 minutes",32.5,0,820,"1007","MED-G-001"
"Undergrad","Business","International","more than 45 minutes",32.5,0,370,"0021","BUS-U-008"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",23,0,570,"2016","ENG-U-013"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",36,0,1250,"2007","ASC-U-080"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","15-30 minutes",41.5,1,1040,"2010","PHARM-U-004"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",27.5,1,470,"0020","ASC-U-011"
"Undergrad","Arts and Science","International","more than 45 minutes",34,0,760,"0012","ASC-U-031"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",37.5,0,750,"1031","ENG-U-017"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",22.5,0,500,"0008","ASC-U-038"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",20.5,0,440,"2033","ASC-U-019"
"Undergrad","Business","Saskatchewan","less than 15 minutes",36.5,0,1120,"3005","BUS-U-020"
"Undergrad","Business","Out of Province","less than 15 minutes",27,0,930,"3009","BUS-U-029"
"Undergrad","Kinesiology","Saskatchewan","more than 45 minutes",27,0,470,"0002","KIN-U-005"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",21.5,1,670,"2029","ASC-U-094"
"Undergrad","Arts and Science","International","30-45 minutes",26.5,1,670,"1014","ASC-U-097"
"Undergrad","Kinesiology","International","more than 45 minutes",28,0,500,"0009","KIN-U-006"
"Med Residents","Medicine","Saskatchewan","30-45 minutes",21.5,0,690,"1001","MED-M-008"
"Undergrad","Education","Saskatchewan","30-45 minutes",27.5,0,650,"1019","EDU-U-021"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",31,0,570,"1017","ASC-U-071"
"Grad","Public Health","Saskatchewan","30-45 minutes",26.5,1,650,"1023","HEA-G-002"
"Undergrad","Agriculture & Bioresources","Out of Province","15-30 minutes",29.5,0,1440,"2005","AGR-U-020"
"Undergrad","Arts and Science","International","15-30 minutes",28.5,0,740,"2020","ASC-U-079"
"Non-degree","Business","International","30-45 minutes",20.5,0,480,"1022","BUS-N-001"
"Undergrad","Education","Out of Province","30-45 minutes",29,0,610,"1010","EDU-U-026"
"Grad","Engineering","International","30-45 minutes",23.5,0,500,"1043","ENG-G-003"
"Undergrad","Veterinary Medicine","Saskatchewan","more than 45 minutes",45.5,0,730,"0013","VET-U-001"
"Undergrad","Arts and Science","International","more than 45 minutes",21.5,1,650,"0020","ASC-U-024"
"Undergrad","Agriculture & Bioresources","Out of Province","more than 45 minutes",30.5,0,640,"0011","AGR-U-010"
"Undergrad","Dentistry","Saskatchewan","30-45 minutes",41.5,1,930,"1014","DEN-U-003"
"Undergrad","Education","Saskatchewan","30-45 minutes",30,1,780,"1049","EDU-U-002"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",27,0,640,"0008","ASC-U-113"
"Undergrad","Education","Saskatchewan","more than 45 minutes",28,1,600,"0013","EDU-U-021"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",43,0,1200,"3002","ASC-U-014"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",31,0,440,"0001","NUR-U-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",33,1,810,"1010","ASC-U-079"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",49.5,1,1190,"1007","PHARM-U-004"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",35.5,1,650,"0003","ASC-U-116"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",28.5,0,350,"0012","ASC-U-128"
"Undergrad","Business","Saskatchewan","30-45 minutes",40,1,1240,"1052","BUS-U-024"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",28.5,1,740,"1044","ASC-U-076"
"Non-degree","Engineering","Saskatchewan","more than 45 minutes",40.5,0,890,"0003","ENG-N-001"
"Undergrad","Education","Saskatchewan","less than 15 minutes",25,0,760,"3010","EDU-U-015"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",36.5,0,710,"1035","ASC-U-015"
"Undergrad","Veterinary Medicine","Saskatchewan","more than 45 minutes",18.5,1,380,"0005","VET-U-001"
"Undergrad","Law","Saskatchewan","30-45 minutes",32,0,560,"1014","LAW-U-005"
"Undergrad","Business","Saskatchewan","30-45 minutes",32.5,1,1320,"1040","BUS-U-018"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",32,0,740,"2004","ASC-U-031"
"Grad","Engineering","Saskatchewan","30-45 minutes",34,0,610,"1005","ENG-G-001"
"Grad","Agriculture & Bioresources","Out of Province","30-45 minutes",37,1,1160,"1004","AGR-G-001"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",35.5,0,840,"2018","ASC-U-043"
"Undergrad","Kinesiology","Out of Province","15-30 minutes",21,0,500,"2008","KIN-U-007"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",31.5,0,770,"3004","ASC-U-031"
"Undergrad","Business","Saskatchewan","15-30 minutes",23.5,0,610,"2031","BUS-U-034"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",40.5,0,670,"0022","NUR-U-021"
"Undergrad","Education","Saskatchewan","30-45 minutes",30.5,0,830,"1048","EDU-U-004"
"Undergrad","Veterinary Medicine","Out of Province","30-45 minutes",29.5,1,620,"1018","VET-U-003"
"Undergrad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",34,1,1680,"0009","AGR-U-004"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",49.5,1,820,"0020","ASC-U-016"
"Undergrad","Engineering","Out of Province","30-45 minutes",23.5,0,380,"1007","ENG-U-023"
"Undergrad","Dentistry","Out of Province","30-45 minutes",41,0,840,"1035","DEN-U-002"
"Undergrad","Business","Saskatchewan","15-30 minutes",35.5,0,830,"2016","BUS-U-038"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",44,1,1120,"0013","ASC-U-079"
"Grad","Public Policy","Saskatchewan","30-45 minutes",40.5,0,780,"1022","POL-G-001"
"Undergrad","Agriculture & Bioresources","Saskatchewan","less than 15 minutes",33,0,810,"3004","AGR-U-012"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",31,0,550,"0020","ASC-U-048"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",38,0,800,"2013","NUR-U-004"
"Undergrad","Dentistry","Saskatchewan","15-30 minutes",22,0,520,"2033","DEN-U-001"
"Undergrad","Medicine","Saskatchewan","15-30 minutes",20.5,0,400,"2021","MED-U-007"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",51,0,880,"1045","ASC-U-138"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",38,1,1020,"1005","ASC-U-009"
"Undergrad","Business","Saskatchewan","30-45 minutes",29,1,810,"1036","BUS-U-002"
"Undergrad","Arts and Science","International","30-45 minutes",36.5,1,880,"1023","ASC-U-006"
"Grad","Medicine","Saskatchewan","15-30 minutes",41.5,0,900,"2029","MED-G-003"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",34.5,0,660,"2013","AGR-U-023"
"Undergrad","Business","International","30-45 minutes",30.5,0,490,"1046","BUS-U-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",37.5,1,1010,"1036","ASC-U-108"
"Undergrad","Medicine","Saskatchewan","more than 45 minutes",20.5,0,510,"0004","MED-U-001"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",41.5,1,1890,"3007","ASC-U-069"
"Undergrad","Arts and Science","International","30-45 minutes",31,1,860,"1007","ASC-U-070"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",47,0,860,"1033","ASC-U-028"
"Undergrad","Arts and Science","International","more than 45 minutes",33,0,610,"0018","ASC-U-041"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",17,0,370,"1050","ASC-U-022"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",35,1,880,"0018","ENG-U-017"
"Grad","Nursing","International","15-30 minutes",25,0,540,"2010","NUR-G-001"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",30.5,1,810,"1008","AGR-U-005"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",19.5,0,560,"1021","PHARM-U-003"
"Grad","Public Health","Saskatchewan","30-45 minutes",32,0,650,"1018","HEA-G-003"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",40.5,0,900,"2003","ASC-U-073"
"Undergrad","Kinesiology","Saskatchewan","15-30 minutes",24,1,840,"2005","KIN-U-004"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",24.5,0,580,"2008","ASC-U-116"
"Undergrad","Business","Saskatchewan","30-45 minutes",30.5,0,580,"1049","BUS-U-008"
"Med Residents","Medicine","Saskatchewan","15-30 minutes",20,1,640,"2035","MED-M-007"
"Undergrad","Education","Out of Province","30-45 minutes",29,1,600,"1034","EDU-U-015"
"Undergrad","Medicine","Saskatchewan","30-45 minutes",19,0,450,"1014","MED-U-005"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",28,1,670,"1011","ASC-U-027"
"Grad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",23,0,640,"2032","AGR-G-002"
"Grad","Education","Saskatchewan","30-45 minutes",37.5,0,590,"1030","EDU-G-009"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",36.5,1,880,"2010","ASC-U-113"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",40.5,0,830,"1053","ASC-U-113"
"Undergrad","Business","Saskatchewan","more than 45 minutes",33.5,0,710,"0008","BUS-U-025"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",33.5,0,830,"2016","ASC-G-003"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",21.5,1,640,"2010","ENG-U-015"
"Undergrad","Education","Saskatchewan","30-45 minutes",26,1,760,"1046","EDU-U-012"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",27.5,1,810,"2027","ASC-U-045"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",24.5,1,630,"1048","ASC-U-027"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",33,0,660,"1002","NUR-U-005"
"Undergrad","Kinesiology","International","15-30 minutes",39,0,850,"2013","KIN-U-007"
"Grad","Arts and Science","Saskatchewan","more than 45 minutes",27,0,600,"0005","ASC-G-015"
"Undergrad","Nursing","Out of Province","more than 45 minutes",27,0,660,"0014","NUR-U-011"
"Undergrad","Arts and Science","International","30-45 minutes",24.5,0,820,"1026","ASC-U-054"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",18,1,540,"1048","ASC-U-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",25,1,760,"1032","ASC-U-131"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",30,0,700,"0009","ENG-U-024"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",23.5,1,680,"2020","ASC-U-056"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",35,0,720,"2016","ASC-U-104"
"Grad","Environment & Sustainability","Out of Province","30-45 minutes",40,0,670,"1038","ENV-G-003"
"Grad","Nursing","Out of Province","more than 45 minutes",21.5,0,440,"0012","NUR-G-002"
"Grad","Agriculture & Bioresources","International","more than 45 minutes",41,0,820,"0013","AGR-G-003"
"Undergrad","Education","Saskatchewan","30-45 minutes",25,1,700,"1035","EDU-U-003"
"Undergrad","Arts and Science","International","15-30 minutes",21,1,770,"2037","ASC-U-102"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",21.5,0,530,"1053","ASC-U-018"
"Undergrad","Kinesiology","International","15-30 minutes",28,0,770,"2020","KIN-U-007"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",24.5,0,590,"1010","AGR-U-021"
"Undergrad","Business","Saskatchewan","15-30 minutes",45,0,950,"2011","BUS-U-024"
"Undergrad","Education","International","less than 15 minutes",25,1,800,"3003","EDU-U-003"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",22,1,860,"2003","ASC-U-106"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",20.5,1,410,"1002","ASC-U-021"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",39.5,0,770,"1025","ASC-U-081"
"Undergrad","Business","Saskatchewan","more than 45 minutes",31,0,440,"0016","BUS-U-011"
"Undergrad","Arts and Science","International","30-45 minutes",15.5,0,630,"1015","ASC-U-058"
"Undergrad","Arts and Science","International","30-45 minutes",33.5,0,790,"1029","ASC-U-097"
"Grad","Education","International","15-30 minutes",29.5,1,760,"2008","EDU-G-006"
"Grad","Medicine","Out of Province","more than 45 minutes",31.5,1,540,"0008","MED-G-001"
"Undergrad","Nursing","International","30-45 minutes",36,0,640,"1004","NUR-U-016"
"Undergrad","Business","International","30-45 minutes",38,1,1760,"1012","BUS-U-003"
"Undergrad","Arts and Science","International","15-30 minutes",34.5,1,1010,"2010","ASC-U-072"
"Undergrad","Education","Saskatchewan","15-30 minutes",43.5,0,860,"2016","EDU-U-003"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","15-30 minutes",24.5,0,550,"2007","PHARM-U-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",37.5,0,980,"1010","ASC-U-108"
"Undergrad","Engineering","International","less than 15 minutes",38,0,1380,"3008","ENG-U-008"
"Undergrad","Education","Saskatchewan","30-45 minutes",26,0,360,"1024","EDU-U-027"
"Undergrad","Education","Out of Province","15-30 minutes",25.5,0,830,"2013","EDU-U-016"
"Undergrad","Business","Out of Province","30-45 minutes",33,1,870,"1036","BUS-U-018"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",38.5,1,780,"0020","ASC-U-013"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","15-30 minutes",46,1,1130,"2032","PHARM-U-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",26.5,1,720,"1026","ASC-U-013"
"Med Residents","Medicine","Saskatchewan","30-45 minutes",20.5,1,820,"1013","MED-M-002"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",33,1,830,"1027","ASC-U-013"
"Undergrad","Veterinary Medicine","International","30-45 minutes",37.5,0,880,"1022","VET-U-001"
"Grad","Veterinary Medicine","Out of Province","more than 45 minutes",21,1,580,"0020","VET-G-002"
"Undergrad","Business","Out of Province","30-45 minutes",25.5,0,410,"1028","BUS-U-029"
"Undergrad","Business","Saskatchewan","15-30 minutes",36,0,840,"2027","BUS-U-038"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",23,0,570,"1032","NUR-U-011"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",21.5,0,660,"1001","ASC-U-098"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",26.5,1,790,"2012","ASC-U-022"
"Undergrad","Arts and Science","International","30-45 minutes",31.5,0,670,"1007","ASC-U-068"
"Undergrad","Engineering","Out of Province","15-30 minutes",26.5,0,600,"2016","ENG-U-006"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",41,1,950,"0013","ASC-U-061"
"Undergrad","Business","Saskatchewan","more than 45 minutes",32,0,620,"0014","BUS-U-008"
"Med Residents","Medicine","Out of Province","less than 15 minutes",27.5,0,780,"3004","MED-M-003"
"Undergrad","Education","Saskatchewan","30-45 minutes",36,1,970,"1002","EDU-U-005"
"Undergrad","Education","Saskatchewan","30-45 minutes",28,1,1060,"1039","EDU-U-003"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",41,1,900,"0020","ENG-U-023"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",40,0,1210,"2028","NUR-U-001"
"Grad","Nursing","Saskatchewan","30-45 minutes",30.5,1,700,"1014","NUR-G-003"
"Grad","Education","Saskatchewan","30-45 minutes",31.5,0,650,"1053","EDU-G-003"
"Undergrad","Arts and Science","International","more than 45 minutes",32,0,610,"0017","ASC-U-094"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",28.5,0,620,"1038","ASC-U-106"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27.5,1,630,"1035","ASC-U-042"
"Undergrad","Education","Saskatchewan","30-45 minutes",31.5,1,750,"1026","EDU-U-015"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",44.5,1,1220,"1017","NUR-U-003"
"Grad","Arts and Science","Out of Province","30-45 minutes",32,0,590,"1049","ASC-G-015"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",41,1,2090,"2003","AGR-U-025"
"Grad","Environment & Sustainability","Saskatchewan","30-45 minutes",26.5,0,690,"1053","ENV-G-002"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",38.5,0,740,"1035","ASC-U-097"
"Undergrad","Business","Saskatchewan","less than 15 minutes",27.5,0,950,"3004","BUS-U-005"
"Undergrad","Kinesiology","International","30-45 minutes",18.5,0,400,"1007","KIN-U-001"
"Undergrad","Arts and Science","International","15-30 minutes",40,0,840,"2021","ASC-U-007"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",20,1,730,"1033","ASC-U-060"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",21.5,0,640,"0006","ASC-U-015"
"Grad","Agriculture & Bioresources","Out of Province","more than 45 minutes",21.5,1,570,"0014","AGR-G-002"
"Undergrad","Nursing","Saskatchewan","less than 15 minutes",39,1,2020,"3009","NUR-U-005"
"Grad","Medicine","Saskatchewan","30-45 minutes",26.5,0,480,"1001","MED-G-002"
"Undergrad","Business","Saskatchewan","less than 15 minutes",20,1,1020,"3008","BUS-U-015"
"Undergrad","Arts and Science","International","15-30 minutes",28.5,1,680,"2028","ASC-U-034"
"Undergrad","Education","Out of Province","15-30 minutes",27,1,870,"2007","EDU-U-024"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",28.5,1,880,"3005","ASC-U-033"
"Undergrad","Business","Out of Province","less than 15 minutes",28.5,0,860,"3006","BUS-U-018"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",24.5,1,500,"0001","ENG-U-023"
"Grad","Arts and Science","Out of Province","less than 15 minutes",29,0,770,"3006","ASC-G-007"
"Med Residents","Medicine","Out of Province","30-45 minutes",31.5,0,730,"1054","MED-M-003"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",31.5,1,630,"2007","ASC-U-035"
"Undergrad","Business","Saskatchewan","less than 15 minutes",28,1,770,"3006","BUS-U-002"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",49.5,0,1010,"2023","ENG-U-014"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",31.5,1,840,"1030","AGR-U-015"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",19,1,540,"1050","AGR-U-021"
"Undergrad","Business","International","30-45 minutes",32,1,1610,"1050","BUS-U-009"
"Undergrad","Engineering","International","15-30 minutes",28,1,750,"2019","ENG-U-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",25.5,0,580,"1010","ASC-U-028"
"Grad","Nursing","Saskatchewan","less than 15 minutes",27.5,0,690,"3004","NUR-G-003"
"Undergrad","Arts and Science","International","more than 45 minutes",27,1,390,"0021","ASC-U-124"
"Grad","Arts and Science","Saskatchewan","more than 45 minutes",27,1,580,"0011","ASC-G-011"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",24.5,1,410,"1007","ASC-U-031"
"Undergrad","Arts and Science","International","less than 15 minutes",28,1,1070,"3008","ASC-U-022"
"Undergrad","Education","Out of Province","30-45 minutes",35,0,600,"1032","EDU-U-003"
"Grad","Education","Out of Province","30-45 minutes",36.5,0,740,"1029","EDU-G-004"
"Grad","Arts and Science","International","30-45 minutes",34,1,1310,"1043","ASC-G-003"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",30.5,0,640,"1036","ASC-U-073"
"Undergrad","Arts and Science","International","less than 15 minutes",23,0,820,"3010","ASC-U-086"
"Undergrad","Nursing","Saskatchewan","less than 15 minutes",24,0,820,"3004","NUR-U-008"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",35,0,540,"0015","ASC-U-022"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",23,0,860,"3002","ASC-U-128"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",30.5,1,790,"1035","ASC-U-082"
"Undergrad","Engineering","International","more than 45 minutes",28.5,1,730,"0020","ENG-U-011"
"Undergrad","Engineering","Out of Province","less than 15 minutes",29,0,780,"3007","ENG-U-017"
"Grad","Arts and Science","International","30-45 minutes",21,0,450,"1040","ASC-G-006"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",25,1,550,"0007","NUR-U-015"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",18,0,590,"3005","ASC-U-085"
"Undergrad","Nursing","Out of Province","30-45 minutes",31.5,0,580,"1009","NUR-U-006"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",24,1,550,"1005","ENG-U-006"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",33,0,770,"1047","ENG-U-017"
